0x00: 0x3133302A
0x04: 0x00000001
0x08: 0x00000A03
0x0c: 0x00000000
0x10: 0x00000005
0x14: 0x00000006
0x18: 0x00040004
0x1c: 0x00000000
0x20: 0x00000000
0x24: 0x00000000
0x28: 0x00000000
0x2c: 0x0000001C
0x30: 0x00000000
0x34: 0x00000000
0x38: 0x0000BF02
0x3c: 0x000002D0
0x40: 0x00000000
0x44: 0x00000000
0x48: 0x00000011
0x4c: 0x0000001E
0x50: 0x0000029D
0x54: 0x00000004
0x58: 0x0000001F
0x5c: 0x00000011
0x60: 0x00000500
0x64: 0x00000000
0x68: 0x010F7F00
0x6c: 0x00002905
0x70: 0x00000000
0x74: 0x00000015
0x78: 0x03E803E8
0x7c: 0x00000000
0x80: 0x00000000
0x84: 0x00000000
0x88: 0x00000000
0x8c: 0x00000D00
0x90: 0x00000000
0x94: 0x00000001
0x98: 0x00400040
0x9c: 0x14102710
0xa0: 0x0000000F
0xa4: 0x00002003
0xa8: 0x00000000
0xac: 0x00000000
0xb0: 0x00001529
0xb4: 0x00000000
0xb8: 0x00000000
0xbc: 0x00000000
0xc0: 0x00000880
0xc4: 0x00000000
0xc8: 0x00000000
0xcc: 0x00000000
0xd0: 0x00000000
0xd4: 0x00000000
0xd8: 0x00000000
0xdc: 0x00000000
0xe0: 0x00000000
0xe4: 0x00000000
0xe8: 0x00000000
0xec: 0x00000000
0xf0: 0x00000000
0xf4: 0x00000000
0xf8: 0x00000000
0xfc: 0x00000000
